Quantos anéis de campeão o jogador de basquete Bill Russell tem? | Esportes | 2 | 4 | 11 | 12 | 9 
Qual é o nome do time em que Michael Jordan jogava? | Esportes | 4 | New York Knicks | Los Angeles Lakers | Boston Celtics | Chicago Bulls 
Qual é o time com mais títulos de mundial no futebol? | Esportes | 2 | Barcelona | Real Madrid | Milan | Bayern de Munique 
Quem é o maior artilheiro em Copas do Mundo? | Esportes | 1 | Miroslav Klose | Ronaldo Fenômeno | Neymar Jr. | Lionel Messi
Qual é o nome do jogador que defendeu um clube por mais tempo no futebol? | Esportes | 1 | Rogério Ceni no São Paulo | Carles Puyol no Barcelona | Thomas Müller no Bayern de Munique | Paolo Maldini no Milan
O jogador com mais faltas registradas na carreira de futebol é: | Esportes | 3 | Cristiano Ronaldo | Ronaldinho | Juninho Pernambucano | Lionel Messi
Em qual desses anos a Argentina foi campeã da Copa do Mundo de futebol? | Esportes | 3 | 1974 | 1962 | 1978 | 1982  
Em 2004, torcedores e jogadores saíram, literalmente, na porrada no que ficou marcado como a maior briga da história da NBA, batizada de Malice at the Palace. Quais eram os times que estavam jogando naquela noite? | Esportes | 4 | Los Angeles Lakers e Boston Celtics | Chicago Bulls e Utah Jazz | Houston Rockets e Miami Heat | Indiana Pacers e Detroit Pistons
O nome do maior jogador da seleção brasileira de basquete é: | Esportes | 2 | Leandrinho Barbosa | Oscar Schmidt | Tiago Splitter | Tadeu Schmidt
Desde quando o vôlei faz parte das Olimpíadas? | Esportes | 1 | 1964 | 1959 | 1966 | 1970
Antes de ter carreira solo, em 1957, Tim Maia tinha uma banda com Erasmo Carlos. Qual era o nome dessa banda? | Música | 2 | The Brothers | The Sputniks | Barão Vermelho | Os Mutantes
Quem dessas pessoas foi integrante do Nirvana e agora faz parte do Foo Fighters? | Música | 4 | Julian Casablancas | Eddie Vedder | James Hetfield | Dave Grohl
Quem dessas pessoas não faz parte dos Beatles? | Música | 3 | John Lennon | George Harrison | Mick Jagger | Ringo Starr
Qual é a música mais regravada da história? | Música | 2 | Garota de Ipanema - Tom Jobim | Yesterday - Beatles | My Heart Will Go On - Céline Dion | Knockin’ On Heavens Door – Bob Marley
A música "Da ponte pra cá" dos Racionais MC's faz parte de que album? | Música | 4 | Sobrevivendo no Inferno | Rap é Compromisso | Traficando Informação | Nada Como um Dia Após o Outro Dia
Que artista é considerado o rei do pop? | Música | 3 | Bruno Mars | Justin Bieber | Michael Jackson | Chris Brown 
O trecho "Essa novinha é terrorista é especialista, Olha o que ela faz no baile funk com as amigas" faz parte de que música? | Música | 1 | Olha A Explosão - MC Kevinho | Bum Bum Tam Tam - MC Fioti | Rabetão - MC Lan | Ela É Do Tipo - MC Kevin o Chris
Quantos álbuns o cantor Lil Nas X tem em sua discografia? | Música | 4 | 3 | 4 | 2 | 1
Em que ano foi criada a banda Gorillaz? | Música | 2 | 2002 | 1998 | 2001 | 1996
Ray Charles é um dos maiores cantores da história do Jazz e mesmo sendo cego, era famoso por tocar um instrumento. Que instrumento era esse? | Música | 1 | Piano | Trompete | Saxofone | Flauta
Qual dos alimentos a seguir é o mais saudável? | Alimentos | 3 | Verduras | Frutas | Óleos vegetais | Leite e derivados 
Qual alternativa a seguir mostra claramente o alimento que devemos comer mais? | Alimentos | 4 | Carne, porque possui proteína | Doces, é claro! | Macarrão e massas em geral | Cereais integrais
Um rараz рrераrоu umа rеfеіçãо раrа еlе е аfіrmоu quе еlа еrа соmрlеtа, оu ѕеја, соm tоdоѕ оѕ nutrіеntеѕ. Еm ѕеu рrаtо hаvіа: аrrоz, fеіјãо соm tоuсіnhо, fаrіnhа е um tіро dе саrnе. А аfіrmаçãо dо rараz é vеrdаdеіrа оu fаlѕа? | Alimentos | 2 | Falsa, porque não contém carboidratos | Falsa, porque na refeição não há vitaminas | Verdadeira, contém todos os nutrientes que nosso corpo precisa | Depende se ele comeu tudo do prato ou descartou algo 
Qual a principal função dos carboidratos? | Alimentos | 4 | Engordar! | Não possui nenhuma função | Sua principal função é construtora | Nenhuma das alternativas está correta 
Quantos nutrientes os alimentos podem nos fornecer? | Alimentos | 1 | 7 | 5 | 3 | 1 
Em relação ao índice glicêmico responda: Qual alimento a seguir deve ser consumido em menor quantidade? | Alimentos | 2 | Sucos | Verduras | Macarrão | Pães 
Complete a frase: ___ é utilizado na fabricação de alguns hormônios. | Alimentos | 1 | Lipídio | Proteína, porque tem função construtora | Vitamina | Nenhuma das alternativas está correta 
Нá аlgunѕ аnоѕ, fоі сrіаdо um mеdісаmеntо, quе fаzіа соm quе rеduzіѕѕе а аbѕоrçãо dе lірídіоѕ еm 30%, о quе nãо еrа аbѕоrvіdо ѕаíа nаѕ fеzеѕ. Аѕѕіm, muіtаѕ реѕѕоаѕ соmеçаrаm а соmрrá-lо ѕеm оrіеntаçãо médіса, раrа еmаgrесеr. Реnѕе nо рrоblеmа а реѕѕоа quе іngеrіѕѕе muіtо еѕtе mеdісаmеntо (ѕеm оrіеntаçãо médіса) ѕоfrеrіа е аѕѕіnаlе а аltеrnаtіvа іnсоrrеtа. | Alimentos | 4 | Falta de energia, porque os lipídios tem função energética | Falta de algumas vitaminas que se dissolvem em lipídios | Todas as alternativas estão corretas | Falta de aminoácidos, unidade que compõe os lipídios 
Qual nutriente tem função construtora com principal função? | Alimentos | 2 | Carboidratos | Vitaminas | Fibras | Proteínas 
Qual a principal função das vitaminas e dos sais minerais? | Alimentos | 2 | Construtora | Reguladora | Energética | Nenhuma das alternativas está correta 
Qual o nome do mamute do filme Era do Gelo? | Cinema | 2 | Luid | Manny | Billy | Edy
Por quem Severo Snape (Harry Potter) era apaixonado em sua juventude? | Cinema | 2 | Minerva | Lilian Potter | Voldemort | Bellatrix 
Onde é localizado o zoológico em que os animais de Madagascar vivem? | Cinema | 1 | Nova Iorque | Nova Zelândia | França | Brasil 
De onde Samara (O chamado) sai e mata a pessoa? | Cinema | 1 | Do poço e da Televisão | Da mata e do liquidificador | Do telefone e da laranja | Do microondas e da porta 
Onde estava localizada a Jóia da Alma? E como Thanos (Vingadores: Guerra Infinita) a conquista? | Cinema | 3 | Vormir; Matando o Caveira Vermelha | Titã; Sacrificando Gamora | Vormir; Sacrificando Gamora | Titã; Matando o Caveira Vermelha 
Qual é a música dos Red Hot Chili Peepers que toca durante a morte de Ashley e Ashlyn? (Premonição 2) | Cinema | 4 | Ride my Love | Marry Go Round. | Chili and Death. | Rollercoaster of Love. 
Por quem Nemo (Procurando Nemo) foi capturado? | Cinema | 3 | Tubarão | Tartaruga | Mergulhador | Águas-vivas 
Qual foi o primeiro animal amigo que o Shrek conheceu? | Cinema | 4 | Cavalo | Rato | Gato | Burro 
Toy Story é um filme de que gênero? | Cinema | 4 | Ação | Comédia | Desenho | Animação 
Dominic descobre que tem um filho com Elena. Qual nome ele dá para o seu filho? (Velozes e Furiosos 8) | Cinema | 3 | Marcos | Felipe | Brian | Roman
Qual foi o jogo FPS desenvolvido pela id Software que popularizou o gênero? | Jogos | 1 | Doom | Half-Life | Counter-Strike | Battlefield
Qual é o título do clássico jogo de RPG da Square Enix, que narra a história de Cloud Strife e sua luta contra a corporação Shinra e o temível Sephiroth? | Jogos | 4 | Final Fantasy X | Final Fantasy VI | Final Fantasy VIII | Final Fantasy VII
Qual é o nome do protagonista no jogo "Metal Gear Solid" lançado em 1998? | Jogos | 1 | Solid Snake | Big Boss | Revolver Ocelot | Gray Fox
O jogo de ação e terror TPS da Capcom, lançado em 2019, é uma reimaginação de um clássico jogo de 1998. Qual é o nome desse jogo? | Jogos | 2 | Resident Evil 3 | Resident Evil 2 | Resident Evil | Resident Evil 4
Em "Portal", qual é o nome da inteligência artificial que interage com o jogador durante o jogo? | Jogos | 3 | SHODAN | Wheatley | GLaDOS | HAL 9000
Qual é o jogo roguelike desenvolvido pela Motion Twin, em que os jogadores exploram um castelo gerado proceduralmente? | Jogos | 3 | Spelunky 2 | Risk of Rain 2 | Dead Cells | Hades
Quem é o protagonista no jogo "BioShock" lançado em 2007? | Jogos | 3 | Andrew Ryan | Booker DeWitt | Jack | Elizabeth
Quem foi o jogador que executou uma sequência incrível de parries na final do torneio de Street Fighter III: 3rd Strike no evento EVO em 2004? | Jogos | 4 | Justin Wong | Alex Valle | SonicFox | Daigo Umehara
Qual é a música mais famosa do Mundial de League of Legends? | Jogos | 2 | Legends Never Die | Warriors | Enemy | K/DA - POP/STARS
Qual é o título de RTS da Blizzard, ambientado em um universo de ficção científica, que apresenta três facções distintas: Terran, Protoss e Zerg? | Jogos | 4 | Warcraft III | Age of Empires II | Command & Conquer: Red Alert 2 | StarCraft II
Qual foi o nome do primeiro satélite artificial lançado ao espaço? | Gerais | 2 | Ícaro, em referência ao mito grego | Sputnik, nome russo que significa "companheiro de viagem" | Explorer, em homenagem às descobertas científicas | Vanguard, simbolizando o avanço da tecnologia.
Qual é o maior oceano do mundo? | Gerais | 4 | Oceano Índico | Oceano Atlântico | Oceano Ártico | Oceano Pacífico
Qual é o símbolo químico do elemento ouro? | Gerais | 2 | Ag | Au | Fe | Pb
Quem foi o cientista que propôs a teoria da relatividade geral, descrevendo a gravidade como uma curvatura do espaço-tempo? | Gerais | 3 | Isaac Newton, o pai da física moderna | Galileu Galilei, o pioneiro da observação astronômica | Albert Einstein, o gênio da física teórica | Stephen Hawking, o renomado físico britânico
Quem foi o imperador romano que adotou o cristianismo como religião oficial do Império Romano? | Gerais | 1 | Constantino, que emitiu o Édito de Milão | Augusto, o fundador do Império Romano | Nero, conhecido por seu histórico com o cristianismo | Júlio César, o líder militar e político que foi assassinado.
Qual é a atual capital do Japão? | Gerais | 3 | Quioto, capital imperial japonesa | Osaka, importante centro financeiro e comercial do país | Tóquio, a agitada megalópole japonesa | Nagoya, famosa por suas indústrias automotivas
Quem foi o filósofo grego considerado o pai da filosofia ocidental? | Gerais | 1 | Sócrates, conhecido por seu método de questionamento | Platão, fundador da Academia | Aristóteles, mentor de Alexandre, o Grande | Pitágoras, famoso por seu teorema matemático.
